Freq.	V(n004)*I(R_load)		
4.19E+04	7.38E-01	-8.46E-01	1.122824374
4.20E+04	6.75E-01	-8.95E-01	1.121003506
4.21E+04	6.08E-01	-9.37E-01	1.116768834
4.22E+04	5.40E-01	-9.70E-01	1.110300659
4.23E+04	4.70E-01	-9.97E-01	1.10179624
4.24E+04	4.00E-01	-1.02E+00	1.091463435
4.25E+04	3.31E-01	-1.03E+00	1.079514824
4.26E+04	2.63E-01	-1.03E+00	1.066162494
4.27E+04	1.98E-01	-1.03E+00	1.051613619
4.28E+04	1.35E-01	-1.03E+00	1.036066882
4.29E+04	7.50E-02	-1.02E+00	1.019709732
4.30E+04	1.87E-02	-1.00E+00	1.00271643
4.31E+04	-3.41E-02	-9.85E-01	0.985246803
4.32E+04	-8.33E-02	-9.64E-01	0.967445607
4.33E+04	-1.29E-01	-9.41E-01	0.949442402
4.34E+04	-1.71E-01	-9.16E-01	0.931351823
4.35E+04	-2.09E-01	-8.89E-01	0.913274166
4.36E+04	-2.44E-01	-8.61E-01	0.895296192
4.37E+04	-2.76E-01	-8.33E-01	0.877492076
4.38E+04	-3.04E-01	-8.04E-01	0.859924443
4.39E+04	-3.30E-01	-7.75E-01	0.842645442
4.40E+04	-3.53E-01	-7.47E-01	0.825697811
4.41E+04	-3.73E-01	-7.18E-01	0.809115921
4.42E+04	-3.91E-01	-6.90E-01	0.79292676
4.43E+04	-4.07E-01	-6.62E-01	0.777150858
4.44E+04	-4.21E-01	-6.35E-01	0.761803141
4.45E+04	-4.33E-01	-6.08E-01	0.746893704
4.46E+04	-4.44E-01	-5.83E-01	0.732428517
4.47E+04	-4.53E-01	-5.58E-01	0.718410046
4.48E+04	-4.60E-01	-5.34E-01	0.704837816
4.49E+04	-4.67E-01	-5.10E-01	0.691708898
4.50E+04	-4.72E-01	-4.88E-01	0.679018338
4.51E+04	-4.77E-01	-4.66E-01	0.666759536
4.52E+04	-4.80E-01	-4.45E-01	0.654924567
4.53E+04	-4.83E-01	-4.25E-01	0.643504462
4.54E+04	-4.85E-01	-4.06E-01	0.632489445
4.55E+04	-4.86E-01	-3.87E-01	0.621869143
4.56E+04	-4.87E-01	-3.70E-01	0.611632755
4.57E+04	-4.88E-01	-3.53E-01	0.601769199
4.58E+04	-4.88E-01	-3.36E-01	0.592267236
4.59E+04	-4.87E-01	-3.21E-01	0.583115571
4.60E+04	-4.86E-01	-3.06E-01	0.57430294
4.61E+04	-4.85E-01	-2.91E-01	0.565818176
4.62E+04	-4.84E-01	-2.77E-01	0.557650268
4.63E+04	-4.82E-01	-2.64E-01	0.549788404
4.64E+04	-4.80E-01	-2.51E-01	0.54222201
4.65E+04	-4.79E-01	-2.39E-01	0.534940772
4.66E+04	-4.76E-01	-2.27E-01	0.527934665
4.67E+04	-4.74E-01	-2.16E-01	0.52119396
4.68E+04	-4.72E-01	-2.05E-01	0.514709237
4.69E+04	-4.70E-01	-1.95E-01	0.508471396
4.70E+04	-4.67E-01	-1.85E-01	0.502471652
4.71E+04	-4.65E-01	-1.75E-01	0.49670154
4.72E+04	-4.62E-01	-1.66E-01	0.491152913
4.73E+04	-4.60E-01	-1.57E-01	0.485817936
4.74E+04	-4.57E-01	-1.48E-01	0.480689082
4.75E+04	-4.55E-01	-1.40E-01	0.475759127
4.76E+04	-4.52E-01	-1.32E-01	0.471021139
4.77E+04	-4.50E-01	-1.24E-01	0.466468474
